greater_than, category, ks, alpha
1, 1, 0.012003989241137436, 1.723551120760724
1, 2, 0.033814898486222544, 0.5206477246162227
1, 3, 0.021806598799044452, 1.264007269174799
1, 4, 0.010950068198911311, 1.7719461391830473
1, 5, 0.020395461088999922, 1.3249208005881972
1, 6, 0.03151065801668218, 0.8527723120339921
1, 7, 0.011149688596177265, 1.7645579083408767
1, 8, 0.02310627260527065, 1.1499991024454377
1, 9, 0.013242147804655824, 1.7003811718041895
1, 10, 0.03333167751229449, 0.6621273135392131
0, 1, 1.0, 3.5877330759963146e-16
0, 2, 0.22988505747126436, 3.5877330759963146e-16
0, 3, 1.0, 3.5877330759963146e-16
0, 4, 1.0, 3.5877330759963146e-16
0, 5, 1.0, 3.5877330759963146e-16
0, 6, 1.0, 3.5877330759963146e-16
0, 7, 0.3333333333333333, 3.5877330759963146e-16
0, 8, 1.0, 3.5877330759963146e-16
0, 9, 0.5, 3.5877330759963146e-16
0, 10, 0.5, 3.5877330759963146e-16
